,Acceleration,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Minutes,Record,Subject
86,905.9432616666667,1.2598773814549453,0.009076309849546368,3.344748090576784e-10,0.0007408283995971123,5.337562994947587e-06,1.9604397520524031e-10,70.0,Day 2,S1
87,172.05063666666666,1.2588991981237028,0.009069263687564081,2.8772133659147127e-10,0.0007363916491970397,5.305906537670064e-06,1.983567413182757e-10,75.0,Day 2,S1
88,290.828345,1.255758541464414,0.009046639268255347,3.350137987372757e-10,0.0007226719431444493,5.206959728217397e-06,2.0841519936548183e-10,80.0,Day 2,S1
89,18.22652,1.2538559561409253,0.009032932656064571,3.574811420721841e-10,0.0006983521411424724,5.032079390484882e-06,2.502634814167419e-10,85.0,Day 2,S1
90,78.06450666666667,1.2532834150506598,0.00902880747845113,3.2624674297513084e-10,0.0006659858893576594,4.798774442741707e-06,2.3027912172293004e-10,90.0,Day 2,S1
91,109.13733666666667,1.2528702439733557,0.009025831590134174,2.749033510076132e-10,0.0006469796053019514,4.661554401284864e-06,1.6475505405967008e-10,95.0,Day 2,S1
92,17259.758296666667,1.2528575342489607,0.009081216489930809,3.806222061446616e-06,0.000641691554579418,4.623233237743082e-06,1.2014298710164603e-10,100.0,Day 2,S1
93,648.061365,1.2583326372706833,0.009065183254894062,2.9166478271971205e-10,0.0006421954589110269,4.627436747542565e-06,2.1551206281169445e-10,105.0,Day 2,S1
94,604.1537083333334,1.2627081775067648,0.009097518154683773,1.33454042536921e-07,0.0006432611848813916,4.635327605772171e-06,2.58112501142403e-10,110.0,Day 2,S1
95,36.52905333333333,1.2548056721229361,0.009039775625619266,2.403698398577408e-10,0.0006451049128965567,4.647681604602903e-06,1.2310379120678424e-10,115.0,Day 2,S1
96,110.07862166666666,1.2495131850903494,0.009001646104864697,2.9137544758325327e-10,0.0006594992115449159,4.751999578212019e-06,2.2208114305650206e-10,120.0,Day 2,S1
97,176.01847,1.2469768519882702,0.00898337453178169,3.009073403501637e-10,0.0006762016985054403,4.872597294607696e-06,2.4369511929962227e-10,125.0,Day 2,S1
98,37.698706666666666,1.245566727832719,0.008973214920872176,3.006559157069587e-10,0.0006725753659337595,4.8461282687536735e-06,2.365086397296037e-10,130.0,Day 2,S1
99,334.7793233333333,1.2447891304775527,0.008972930248794258,7.114518794809201e-08,0.0006783420966454259,4.887522131522415e-06,1.7138203329662176e-10,135.0,Day 2,S1
100,45.902766666666665,1.2455950626014878,0.008973419046738006,2.928325181772862e-10,0.0006723667914721163,4.8445352977932425e-06,2.213091705361318e-10,140.0,Day 2,S1
101,2346.6200933333334,1.2438597480628772,0.008960918476958806,3.0781834385052004e-10,0.0006627925678655138,4.775499183977262e-06,2.0834533207548845e-10,145.0,Day 2,S1
102,67.10599,1.2428826611539823,0.00895387928932134,1.8634124431242492e-10,0.0006598126196785658,4.7535547818019105e-06,8.75603842087778e-11,150.0,Day 2,S1
103,280.93380833333333,1.2414730984171554,0.008943725163474745,2.4171626536850915e-10,0.0006471173171760451,4.662518977019483e-06,2.0345783168523333e-10,155.0,Day 2,S1
104,43.83040666666667,1.240794676459974,0.00893883723302171,3.2362779863075275e-10,0.0006472383397323552,4.663847103000424e-06,2.479882008526343e-10,160.0,Day 2,S1
105,2017.61426,1.240950022420478,0.008939954914576697,1.72214752615643e-10,0.000672703512987536,4.8464528850060455e-06,8.99150733956316e-11,165.0,Day 2,S1
106,12854.546645,1.2581777813187869,0.009064382967718276,1.227472449306334e-07,0.0006476206928929403,4.6656986074094555e-06,4.711540752490319e-11,170.0,Day 2,S1
107,10937.311855,1.2532705032526499,0.009029276820519794,4.045236918979534e-07,0.0006274296321817647,4.520493520181734e-06,1.3531207521424785e-10,175.0,Day 2,S1
108,426.37891,1.2379164427867102,0.008918103871187638,3.031743276514833e-10,0.000603486047335739,4.348208082543336e-06,2.136793071822259e-10,180.0,Day 2,S1
109,54.958996666666664,1.2315507520279692,0.008872243216454934,2.6807604000888326e-10,0.000591606414635118,4.2625783714211194e-06,1.8686483544392653e-10,185.0,Day 2,S1
110,502.963295,1.2287716265300463,0.008856291955769726,1.2079244671939926e-06,0.0005734353157065776,4.131358719891228e-06,9.961445686886565e-11,190.0,Day 2,S1
111,47.92574166666667,1.2271512650091603,0.00884054947030669,2.9802971549314753e-10,0.0005565566261742787,4.010198263392039e-06,2.054670146014233e-10,195.0,Day 2,S1
112,344.388105,1.2253156927225481,0.008827324155887077,2.4225415899171475e-10,0.0005575310331422714,4.017053700890991e-06,1.8412945367708833e-10,200.0,Day 2,S1
113,71.77345,1.2230905245803592,0.008811292391182099,2.0337829977690427e-10,0.0005439394870234032,3.918918273813905e-06,1.1041327896500523e-10,205.0,Day 2,S1
114,628.589535,1.2221231345135337,0.008804327340262761,2.682166797504507e-10,0.0005320725411718787,3.833650923239951e-06,1.8815304325838914e-10,210.0,Day 2,S1
115,268.11892666666665,1.2233015379428511,0.008812813566648368,3.539206979023549e-10,0.0005188859816761245,3.7388883892417585e-06,2.4035103612430064e-10,215.0,Day 2,S1
