,Acceleration,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Minutes,Record,Subject
19,127.76384666666667,0.05282088850289706,1.867861067025369e-09,1.2275504295833237e-09,0.0163113454176924,1.9060230102844637e-09,1.7014164135404116e-09,95.0,Day 2,RecV3_2_ang+
20,171.17768333333333,0.05305498800671313,1.2801437347923019e-09,9.064075424908438e-10,0.017295712110398553,1.298446400554275e-09,1.245182491761393e-09,100.0,Day 2,RecV3_2_ang+
21,147.96718,0.05303377888161404,1.943525442905406e-09,1.1085388825302348e-09,0.01749212290121078,1.989205878122926e-09,1.4494056025860115e-09,105.0,Day 2,RecV3_2_ang+
22,577.6375866666667,0.05274525413668754,9.503020914004893e-10,6.762029517478106e-10,0.017315413668430153,1.003957578018458e-09,8.86982813677678e-10,110.0,Day 2,RecV3_2_ang+
23,305.09752333333336,0.0528504223953095,1.9612243122620465e-09,1.0738025913879651e-09,0.017573043163747158,1.8740841357135985e-09,1.3757660612832069e-09,115.0,Day 2,RecV3_2_ang+
24,167.94126333333332,0.05845637769742425,2.1689019063028855e-09,1.1115243927407581e-09,0.01786722139176446,2.119758192855547e-09,1.5427337707819528e-09,120.0,Day 2,RecV3_2_ang+
25,171.50009666666668,0.05963396261825542,1.7745807324646643e-09,1.1645155629944659e-09,0.018197154705682568,1.867252260371081e-09,1.5485198184069916e-09,125.0,Day 2,RecV3_2_ang+
26,134.18441666666666,0.059067866961436497,1.69429698885791e-09,1.1359018692644208e-09,0.017998637805859547,1.6660945542983642e-09,1.5088540383668235e-09,130.0,Day 2,RecV3_2_ang+
27,608.7802066666667,0.058342533791406304,1.2948294442719802e-09,8.879689851582325e-10,0.01773430249670536,1.3343502410121577e-09,1.2378812442894567e-09,135.0,Day 2,RecV3_2_ang+
28,145.49510333333333,0.0572734374327348,1.913179227732202e-09,1.1490871829789117e-09,0.017693537412953927,1.8672873180644744e-09,1.4923338816871933e-09,140.0,Day 2,RecV3_2_ang+
29,201.93873666666667,0.056820569734595885,9.02671370237729e-10,7.901553509836769e-10,0.017378816265379377,9.446945204078706e-10,1.0422707788170313e-09,145.0,Day 2,RecV3_2_ang+
30,181.42980333333333,0.05642025416577274,1.835067151226161e-09,9.049829536483159e-10,0.01723308459665198,1.632342143931104e-09,1.1911448224665013e-09,150.0,Day 2,RecV3_2_ang+
31,4341.960983333333,0.055997220585704395,1.1326785614345908e-09,7.936448848849674e-10,0.017143483671933784,1.2503904328024705e-09,1.0607016948534944e-09,155.0,Day 2,RecV3_2_ang+
