,Unnamed: 0,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
101,101,0.09233023488965343,0.0006651599122000926,1.4498816880160806e-09,0.1102842662092118,0.0007945025203091883,7.471414250884432e-10,588.9688066666666,S2,Day 1
102,102,0.08762260674353223,0.0006312448607385996,8.037685915251176e-10,0.10317470061300486,0.0007432835844953408,3.6851567337087187e-10,3153.0772666666667,S2,Day 1
103,103,0.0836189640113871,0.0006024020010893456,6.329007755207743e-10,0.09697730106612977,0.0006986367379137992,2.8093650529527024e-10,7234.964903333333,S2,Day 1
104,104,0.0773103138945486,0.0005569543917723479,8.93022873110324e-10,0.08938976690361908,0.0006439756297478892,4.922936553620577e-10,5421.585843333333,S2,Day 1
105,105,0.07341727572934394,0.0005289084384576269,1.409737619086799e-09,0.0838454783289841,0.0006040341178985881,7.020014808712006e-10,388.72749333333326,S2,Day 1
106,106,0.06930575550302245,0.0004992886324675078,1.4145085181434834e-09,0.07867055306822032,0.0005667531900461362,6.508264823113628e-10,72.4186,S2,Day 1
107,107,0.0635538134055349,0.00045785181764915076,1.8338699434852254e-09,0.07272806129626137,0.0005239429047609219,7.799799533362937e-10,95.13709,S2,Day 1
108,108,0.0045789695333976355,3.2988288299541565e-05,6.369278548022366e-10,0.021406315635391974,0.00015421428985385152,3.2185950539713513e-10,2257.10501,S2,Day 2
109,109,0.00457697783640983,3.2974079812883665e-05,7.157062577945797e-10,0.021470478379674755,0.0001546767350951554,3.973968452005106e-10,202.6861433333333,S2,Day 2
110,110,0.004652981278700186,3.352123969544737e-05,4.884399580844144e-10,0.021605965980538,0.00015565264003676653,2.615410649013536e-10,1732.04865,S2,Day 2
111,111,0.0046411416166656045,3.3436518576448875e-05,8.538086556461942e-10,0.02138176791067184,0.00015403789711691885,4.0507953639709307e-10,1074.61753,S2,Day 2
112,112,0.0045071627732141285,3.247410062828416e-05,1.673659190713851e-09,0.022197606120593055,0.00015991672127678368,7.421956281477186e-10,3.9575699999999996,S2,Day 2
113,113,0.004458116693867256,3.2119295616037185e-05,1.5927886370881652e-09,0.02210552449337069,0.00015925213206512714,7.058282716645422e-10,136.83318666666668,S2,Day 2
114,114,0.00441631529681798,3.1818326652409446e-05,1.7908803107773222e-09,0.022496634872889783,0.0001620706345108597,8.201125311247642e-10,16.773946666666667,S2,Day 2
115,115,0.004363906427413827,3.1440119322406804e-05,1.349757356666648e-09,0.022562550255734337,0.00016254442207257926,6.163533920359083e-10,184.52973,S2,Day 2
116,116,0.004386815743588446,3.1603755702577124e-05,6.390573344834122e-10,0.02241829080150057,0.00016150434095088594,3.140544350006565e-10,2232.548566666667,S2,Day 2
117,117,0.00430682714412842,3.102926937615353e-05,1.1291014413730544e-09,0.02216648572600356,0.00015969189102438302,5.785116179705072e-10,1912.3067399999998,S2,Day 2
118,118,0.004169988456146262,3.0043380084460155e-05,1.544023990675187e-09,0.022248991294819703,0.0001602864218141488,7.537731591354581e-10,29.807196666666666,S2,Day 2
119,119,0.004075737622215485,2.93641255802825e-05,1.356211710431222e-09,0.022086526182740863,0.00015911510823966578,7.75022804448948e-10,279.0815866666667,S2,Day 2
120,120,0.004067693845872297,2.9307311707028755e-05,1.5911802827421133e-09,0.022424548175909,0.00016155148663528796,7.825068544274887e-10,34.066390000000006,S2,Day 2
121,121,0.004054660785894011,2.921221958420169e-05,1.1767228798087387e-09,0.0228066249604649,0.00016430316917008772,6.247437143168671e-10,552.9044666666666,S2,Day 2
122,122,0.0039469529018680465,2.8435525198456635e-05,1.1823943771391216e-09,0.02251947282319177,0.00016223402383884868,6.835174475224912e-10,534.60003,S2,Day 2
123,123,0.003770036537279664,2.7161233816727576e-05,1.1483735322577684e-09,0.022350476251778797,0.0001610167197736054,5.765148461242434e-10,612.0450400000001,S2,Day 2
124,124,0.0036361113962630337,2.619669589500111e-05,1.5580417421222866e-09,0.021951269441934658,0.00015814080146425353,8.327876499763821e-10,17.585639999999998,S2,Day 2
125,125,0.003432248799000928,2.472849994760344e-05,1.3586248233737274e-09,0.021151005521803247,0.0001523758111889028,7.431501538900291e-10,117.60059333333334,S2,Day 2
126,126,0.003397935725229144,2.448119672225661e-05,1.5513327446410747e-09,0.021133170190499297,0.00015224747652018165,6.988776351845762e-10,92.69206,S2,Day 2
127,127,0.0034243643537713447,2.467250781189753e-05,1.6044437029757742e-09,0.02149583852939177,0.00015486096208029785,8.224256385909137e-10,23.53285666666667,S2,Day 2
128,128,0.00337959505297571,2.4348354083959444e-05,1.410552781348995e-09,0.021263126522098986,0.00015318326357438458,6.690096646745083e-10,287.68134,S2,Day 2
129,129,0.0033339606631236376,2.4020182021751384e-05,1.4471184415650747e-09,0.02126804456691815,0.00015321916061725537,8.530162724892471e-10,19.304533333333328,S2,Day 2
